,Base_Qwen,,,,,,,RICE without retain CE,,,,,,,RICE without NPO,,,,,
,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget
,ja,0.3763478715,0.9939829147,0.5522646248,0.100040045,0.6340750512,,ja,0.3782,0.981,0.5632,0.5589,0.4928,,,,,,,
,ko,0.3664160292,0.9924506926,0.554126597,0.09445387025,0.5998251141,,ko,0.3535,0.9766,0.5453,0.2839,0.5013,,,,,,,
,ru,0.3543006565,0.994580713,0.5081062554,0.0907412335,0.715324596,,ru,0.3587,0.9784,0.507,0.6363,0.501,,,,,,,
,total,0.364524926,0.9932667219,0.5328569879,0.1022410871,0.6651842519,,total,0.359,0.976,0.5314,0.4576,0.5409,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Grad_diff,,,,,,,RICE with mid layer(8-16),,,,,,,,,,,,
,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,,,,,,
,en,0.405260067,0.7867817184,0.6109357121,1.60E-40,0.5010158484,,en,0.3972,0.9889,0.5934,0.1269,0.5873,,,,,,,
,ar,0.3528949286,0.8360890231,0.5579317016,1.25E-05,0.2665352058,,ar,0.3502,0.9773,0.54,0.5874,0.4589,,,,,,,
,fa,0.3402124679,0.8765878175,0.5222345939,2.98E-05,0.313170367,,fa,0.3393,0.9814,0.5066,0.655,0.5398,,,,,,,
,fr,0.3693590354,0.3693590354,0.5895848332,4.49E-26,0.4553050359,,fr,0.3895,0.9874,0.5611,0.3256,0.5526,,,,,,,
,hi,0.3381819221,0.8512414266,0.4521616469,5.20E-10,0.2146107529,,hi,0.3294,0.9679,0.4355,0.5283,0.6106,,,,,,,
,id,0.3676584134,0.7307902426,0.6407620729,4.19E-28,0.4063339323,,id,0.366,0.988,0.5947,0.3764,0.4946,,,,,,,
,iw,0.3226534822,0.8602165027,0.517785184,1.57E-06,0.3175025109,,iw,0.3321,0.9707,0.4968,0.5779,0.566,,,,,,,
,ja,0.3876196555,0.7717427955,0.5667974862,4.79E-06,0.1963822128,,ja,0.3874,0.9823,0.5676,0.5454,0.5075,,,,,,,
,ko,0.3495182326,0.7945120169,0.5636514476,1.14E-05,0.2406416496,,ko,0.3515,0.9791,0.5584,0.3315,0.5145,,,,,,,
,ru,0.3626801553,0.8036634978,0.5364936603,1.94E-16,0.2452365286,,ru,0.3518,0.9839,0.514,0.567,0.491,,,,,,,
,total,0.359603836,0.7680984076,0.5558338339,6.00E-06,0.3156734044,,total,0.3603,0.9807,0.5368,0.4621,0.5323,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Grad_diff_KL,,,,,,,"RICE with late layer(18-22, Ours)",,,,,,,,,,,,
,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,,,,,,
,en,0.3959831696,0.8392953717,0.5980164181,1.14E-34,0.4984453647,,en,0.3988275241,0.856391,0.5949670126,2.60E-07,0.8460643503,,,,,,,
,ar,0.360784121,0.9566786695,0.544323593,6.48E-06,0.21852459,,ar,0.3519250639,0.8944213808,0.5277344318,6.89E-07,0.8329461126,,,,,,,
,fa,0.3353416612,0.9698954164,0.510089857,3.00E-08,0.1889622435,,fa,0.3257936155,0.9353448684,0.4937191283,6.41E-07,0.8673401448,,,,,,,
,fr,0.3905078227,0.9340518962,0.5683220245,9.18E-26,0.3466918515,,fr,0.3641726755,0.8857164641,0.5393006889,3.46E-07,0.8692720131,,,,,,,
,hi,0.3304233238,0.9504530929,0.4379286821,3.61E-11,0.2426273547,,hi,0.3327465243,0.8777873309,0.4256838458,6.25E-07,0.8988139788,,,,,,,
,id,0.3641477352,0.9477460023,0.5955667804,4.00E-27,0.3047464684,,id,0.3604937516,0.9088983734,0.5918776181,5.19E-07,0.8383955855,,,,,,,
,iw,0.3279333307,0.9403979322,0.4994825545,4.75E-12,0.2093247005,,iw,0.3242188867,0.8693101941,0.4775291715,1.44E-06,0.8583024509,,,,,,,
,ja,0.3890980597,0.9630942643,0.5747517648,3.10E-07,0.177044733,,ja,0.3597005377,0.9357085243,0.557384072,5.55E-07,0.8376739116,,,,,,,
,ko,0.3440716344,0.9538245761,0.5632815236,6.88E-06,0.3239612415,,ko,0.3501330861,0.9270908072,0.5583555745,5.44E-07,0.8385760632,,,,,,,
,ru,0.351404943,0.9717251307,0.5207713927,2.55E-21,0.2945003272,,ru,0.3599459897,0.9101142136,0.5000480543,8.74E-07,0.8649499645,,,,,,,
,total,0.3589695801,0.9427162352,0.5412534591,1.37E-06,0.2804828875,,total,0.353815175,0.9000783157,0.5266599598,6.50E-07,0.8552334575,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,NPO,,,,,,,RICE with compact window,,,,,,,,,,,,
,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,,,,,,
,en,0.392857982,0.995038421,0.581070148,0.347285229,0.515206482,,en,0.38105075,0.856491897,0.560821943,0.00602220351,0.703147659,,,,,,,
,ar,0.360190035,0.990692076,0.537404972,0.952374255,0.440808825,,ar,0.352061011,0.932194294,0.509052545,0.028289814,0.696209514,,,,,,,
,fa,0.343360046,0.993106506,0.504071157,0.964750836,0.51703363,,fa,0.330539778,0.943047556,0.485186708,0.0141859673,0.69251944,,,,,,,
,fr,0.380540014,0.99464463,0.55598329,0.791245767,0.480374479,,fr,0.372533656,0.930206484,0.530470984,0.00837864464,0.661392329,,,,,,,
,hi,0.328750594,0.986506612,0.436138959,0.958065789,0.58030421,,hi,0.319087466,0.927955511,0.412424238,0.0064490711,0.661242676,,,,,,,
,id,0.358023693,0.99535116,0.591539784,0.828783888,0.434980887,,id,0.359253213,0.936197432,0.573955617,0.00983714739,0.689959108,,,,,,,
